date;Conductivity;Temperature;Pressure;Temperature;Dissolved O2 concentration;PAR;pH;Chlorophyll-a;FDOM;Turbidity;Sea pressure;Depth;Salinity;Speed of sound;Specific conductivity;Dissolved O2 saturation;Density anomaly
2024-09-12 09:42:48,500;-0,000318081874866039;16,4432067871094;10,1371192932129;17,8131999969482;349,243103027344;596,76953125;2,21337795257568;1,00850009918213;0,667500019073486;0,338750004768372;0,00461959838867188;0,00458192685618997;0;1470,90454101563;-0,380223631858826;114,363670349121;-1,12876466504201
2024-09-12 09:42:49,000;-0,000669069471769035;16,42822265625;10,1356630325317;17,8131999969482;349,243103027344;578,396240234375;5,67815780639648;1,02600002288818;2,09200000762939;0,318199992179871;0,00316333770751953;0,00313754170201719;0;1470,85375976563;-0,800055265426636;114,327499389648;-1,12626231232935
2024-09-12 09:42:49,500;-0,00078677706187591;16,4189147949219;10,1408815383911;17,8106994628906;349,793548583984;1174,79528808594;6,95866775512695;1,14800000190735;2,83750009536743;0,308849990367889;0,00838184356689453;0,00831349194049835;0;1470,82250976562;-0,941006898880005;114,48518371582;-1,12468076041228
2024-09-12 09:42:50,000;-0,000393074005842209;16,4303283691406;10,1427984237671;17,8106994628906;349,793609619141;1208,46520996094;7,24943208694458;2,19200015068054;2,39300012588501;0,301599979400635;0,0102987289428711;0,0102147459983826;0;1470,86108398438;-0,470004737377167;114,51277923584;-1,12658164208688
2024-09-12 09:42:50,500;-0,000391315203160048;16,4360961914063;10,1348972320557;17,8398990631104;350,447723388672;1438,91247558594;7,88921403884888;1,08550000190735;2,28750014305115;0,298299998044968;0,00239753723144531;0,00237798597663641;0;1470,88037109375;-0,467840015888214;114,740921020508;-1,1275839822182
2024-09-12 09:42:51,000;-0,000389583059586585;16,4383239746094;10,1376113891602;17,8398990631104;350,447723388672;1152,0498046875;10,1939125061035;0,540500044822693;1,2775000333786;0,272499978542328;0,0051116943359375;0,00507001020014286;0;1470,88806152344;-0,465745478868485;114,746307373047;-1,12794446727764
2024-09-12 09:42:51,500;-0,000464575161458924;16,4454345703125;10,1386260986328;17,8670997619629;350,078155517578;2053,46875;11,4861421585083;1,51450002193451;2,1965000629425;0,282749980688095;0,00612640380859375;0,00607644487172365;0;1470,91198730469;-0,555308163166046;114,642509460449;-1,12913093443865
2024-09-12 09:42:52,000;-0,000505562173202634;16,4693908691406;10,1396493911743;17,8670997619629;350,078155517578;2155,25952148437;9,20332813262939;3,24650025367737;3,00250005722046;0,288599997758865;0,00714969635009766;0,007091392762959;0;1470,99279785156;-0,603969812393189;114,700492858887;-1,13314360679556
2024-09-12 09:42:52,500;-0,000652051763609052;16,5008850097656;10,1395406723022;17,8948993682861;348,861755371094;2222,25512695312;8,50337219238281;3,9830002784729;2,80600023269653;0,277349978685379;0,00704097747802734;0,00698356050997973;0;1471,09887695313;-0,778414070606232;114,377914428711;-1,13843553111474
2024-09-12 09:42:53,000;-0,00056353653781116;16,5255737304688;10,1391677856445;17,8948993682861;348,861755371094;2088,63208007812;7,83011341094971;5,4810004234314;3,75450015068054;0,27989998459816;0,0066680908203125;0,006613714620471;0;1471,18200683594;-0,672366857528687;114,437454223633;-1,14259315535605
2024-09-12 09:42:53,500;-0,000674292619805783;16,5780334472656;10,1427478790283;17,9195003509521;349,968109130859;2094,96435546875;8,24042797088623;4,89450025558472;3,37000012397766;0,29119998216629;0,0102481842041016;0,010164612904191;0;1471,35852050781;-0,803551614284515;114,927375793457;-1,15143012956594
